STRTDAY,STRTMNTH,STRTYR,ENDYEAR,ENDMNTH,ENDDAY,date,date1,NAMEA,NAMEB
1,7,1902,1903,1,24,1903/1/24,1902/7/1,USA,UKG
2,5,1913,1913,10,25,1913/10/25,1913/5/2,USA,JPN
15,5,1946,1946,11,13,1946/11/13,1946/5/15,USA,RUS
13,10,1951,1952,1,26,1952/1/26,1951/10/13,USA,GDR
1,7,1856,1857,3,14,3757/3/14,3756/7/1,USA,POL
29,12,1889,1890,1,10,3790/1/10,3789/12/29,USA,CZE
11,3,1938,1938,3,12,1938/3/12,1938/3/11,USA,CHN
26,8,1938,1938,9,30,1938/9/30,1938/8/26,USA,PRK
7,9,1938,1938,9,30,1938/9/30,1938/9/7,USA,CUB
11,3,1938,1938,9,30,1938/9/30,1938/3/11,USA,DOM
16,9,1938,1938,9,30,1938/9/30,1938/9/16,USA,HAI
20,7,1863,1863,7,20,3763/7/20,3763/7/20,USA,AUH
6,4,1863,1863,8,17,3763/8/17,3763/4/6,USA,IRQ
15,10,1895,1895,12,31,3795/12/31,3795/10/15,USA,EGY
1,1,1839,1839,3,23,3739/3/23,3739/1/1,USA,MEX
25,12,1897,1898,2,5,3798/2/5,3797/12/25,USA,NIC
15,1,1848,1849,3,23,3749/3/23,3748/1/15,USA,PAN
1,3,1848,1848,8,9,3748/8/9,3748/3/1,USA,COL
18,11,1945,1946,5,9,1946/5/9,1945/11/18,USA,MOR
21,11,1912,1912,12,3,1912/12/3,1912/11/21,USA,GMY
9,6,1940,1940,6,17,1940/6/17,1940/6/9,USA,ITA
1,3,1939,1939,10,18,1939/10/18,1939/3/1,USA,SPN
15,8,1831,1831,9,30,3731/9/30,3731/8/15,USA,BUL
2,8,1831,1832,2,2,3732/2/2,3731/8/2,USA,TUR
21,3,1948,1949,7,25,1949/7/25,1948/3/21,USA,HUN
13,8,1961,1961,10,28,1961/10/28,1961/8/13,USA,RUM
18,10,1961,1961,10,28,1961/10/28,1961/10/18,USA,FRN
25,7,1961,1961,10,28,1961/10/28,1961/7/25,USA,PER
19,7,1961,1961,9,5,1961/9/5,1961/7/19,USA,CAM
6,10,1908,1909,3,31,1909/3/31,1908/10/6,USA,ECU
30,5,1900,1900,8,16,1900/8/16,1900/5/30,USA,SYR
29,12,1837,1838,1,5,3738/1/5,3737/12/29,USA,DRV
10,4,1928,1928,11,18,1928/11/18,1928/4/10,USA,YAR
27,5,1929,1929,12,3,1929/12/3,1929/5/27,USA,GUA
14,11,1897,1898,3,6,3798/3/6,3797/11/14,USA,HON
4,8,1954,1954,8,8,1954/8/8,1954/8/4,USA,CHL
11,2,1953,1956,1,19,1956/1/19,1953/2/11,USA,BRA
4,2,1954,1954,8,8,1954/8/8,1954/2/4,USA,SWD
13,2,1953,1953,2,13,1953/2/13,1953/2/13,USA,SAL
30,9,1950,1953,7,27,1953/7/27,1950/9/30,USA,TAW
27,6,1950,1953,7,27,1953/7/27,1950/6/27,USA,GRC
29,6,1950,1953,7,27,1953/7/27,1950/6/29,USA,ISR
6,6,1951,1953,7,27,1953/7/27,1951/6/6,USA,IRN
28,6,1950,1953,7,27,1953/7/27,1950/6/28,USA,GUI
20,1,1951,1953,7,27,1953/7/27,1951/1/20,USA,LIB
1,1,1951,1953,7,27,1953/7/27,1951/1/1,USA,ALB
1,5,1951,1953,7,27,1953/7/27,1951/5/1,USA,SWZ
18,10,1950,1953,7,27,1953/7/27,1950/10/18,USA,AUS
24,6,1950,1953,7,27,1953/7/27,1950/6/24,USA,CAN
16,9,1950,1953,7,27,1953/7/27,1950/9/16,USA,GRN
1,7,1950,1953,7,27,1953/7/27,1950/7/1,USA,YUG
22,8,1956,1956,8,23,1956/8/23,1956/8/22,USA,YPR
29,8,1923,1923,9,27,1923/9/27,1923/8/29,USA,JOR
15,2,1897,1897,8,15,3797/8/15,3797/2/15,USA,SUD
13,6,1853,1856,3,30,3756/3/30,3753/6/13,USA,AFG
20,4,1854,1856,3,30,3756/3/30,3754/4/20,USA,LBR
10,1,1855,1856,3,30,3756/3/30,3755/1/10,USA,VEN
31,5,1853,1856,3,30,3756/3/30,3753/5/31,,
28,1,1962,1962,12,12,1962/12/12,1962/1/28,,
5,4,1826,1826,10,6,3726/10/6,3726/4/5,,
1,7,1883,1883,7,1,3783/7/1,3783/7/1,,
25,7,1934,1934,7,31,1934/7/31,1934/7/25,,
1,1,1900,1900,2,9,1900/2/9,1900/1/1,,
25,3,1914,1916,11,29,1916/11/29,1914/3/25,,
17,1,1850,1850,4,27,3750/4/27,3750/1/17,,
23,6,1934,1934,6,23,1934/6/23,1934/6/23,,
18,9,1898,1898,11,4,3798/11/4,3798/9/18,,
17,7,1847,1848,1,17,3748/1/17,3747/7/17,,
25,3,1907,1908,3,23,1908/3/23,1907/3/25,,
8,8,1907,1908,3,23,1908/3/23,1907/8/8,,
16,7,1870,1870,11,15,3770/11/15,3770/7/16,,
6,7,1870,1871,2,25,3771/2/25,3770/7/6,,
16,7,1870,1870,11,22,3770/11/22,3770/7/16,,
17,7,1870,1870,11,22,3770/11/22,3770/7/17,,
21,9,1822,1823,11,13,3723/11/13,3722/9/21,,
6,1,1823,1823,1,6,3723/1/6,3723/1/6,,
22,5,1887,1887,5,22,3787/5/22,3787/5/22,,
18,2,1964,1964,2,29,1964/2/29,1964/2/18,,
1,10,1909,1910,4,31,1910/5/1,1909/10/1,,
26,4,1886,1886,6,7,3786/6/7,3786/4/26,,
13,12,1914,1915,9,9,1915/9/9,1914/12/13,,
1,3,1880,1880,7,31,3780/7/31,3780/3/1,,
23,4,1895,1895,4,23,3795/4/23,3795/4/23,,
23,4,1895,1895,7,1,3795/7/1,3795/4/23,,
7,4,1939,1939,4,8,1939/4/8,1939/4/7,,
1,9,1904,1904,10,31,1904/10/31,1904/9/1,,
22,8,1935,1936,5,9,1936/5/9,1935/8/22,,
22,11,1934,1936,5,9,1936/5/9,1934/11/22,,
10,9,1860,1860,9,29,3760/9/29,3760/9/10,,
7,9,1860,1860,9,29,3760/9/29,3760/9/7,,
13,11,1860,1861,1,19,3761/1/19,3760/11/13,,
18,9,1860,1861,2,13,3761/2/13,3760/9/18,,
12,9,1911,1911,10,18,1911/10/18,1911/9/12,,
6,6,1859,1859,7,12,3759/7/12,3759/6/6,,
22,4,1859,1859,7,12,3759/7/12,3759/4/22,,
24,6,1859,1859,7,12,3759/7/12,3759/6/24,,
29,1,1859,1859,7,12,3759/7/12,3759/1/29,,
12,3,1885,1885,5,22,3785/5/22,3785/3/12,,
2,7,1853,1853,7,2,3753/7/2,3753/7/2,,
26,6,1961,1962,2,28,1962/2/28,1961/6/26,,
10,9,1961,1962,2,28,1962/2/28,1961/9/10,,
29,6,1961,1961,6,29,1961/6/29,1961/6/29,,
1,7,1961,1962,2,28,1962/2/28,1961/7/1,,
25,6,1961,1962,2,28,1962/2/28,1961/6/25,,
1,4,1845,1846,3,26,3746/3/26,3745/4/1,,
17,5,1958,1958,10,24,1958/10/24,1958/5/17,,
15,7,1958,1958,10,24,1958/10/24,1958/7/15,,
14,5,1958,1958,10,24,1958/10/24,1958/5/14,,
14,7,1958,1958,10,24,1958/10/24,1958/7/14,,
1,1,1853,1853,2,25,3753/2/25,3753/1/1,,
1,2,1853,1853,2,25,3753/2/25,3753/2/1,,
3,3,1921,1921,11,5,1921/11/5,1921/3/3,,
5,5,1921,1921,5,5,1921/5/5,1921/5/5,,
11,1,1905,1905,12,6,1905/12/6,1905/1/11,,
18,9,1931,1933,5,31,1933/5/31,1931/9/18,,
14,9,1899,1900,4,31,1900/5/1,3799/9/14,,
16,3,1900,1900,4,30,1900/4/30,1900/3/16,,
13,1,1923,1923,1,15,1923/1/15,1923/1/13,,
11,1,1923,1923,1,15,1923/1/15,1923/1/11,,
20,3,1939,1939,3,23,1939/3/23,1939/3/20,,
31,10,1861,1862,4,8,3762/4/8,3761/10/31,,
